Turkey Hill Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW,kW
2023-06-01 00:00:00,-0.1930328,0,0,0,0,-14.05616
2023-06-01 01:00:00,-0.2732824,0,0,0,0,-14.13583
2023-06-01 02:00:00,-0.2145244,0,0,0,0,-14.04867
2023-06-01 03:00:00,-0.2242375,0,0,0,0,-14.0245
2023-06-01 04:00:00,-0.05360981,0,0,0,0,-13.976
2023-06-01 05:00:00,2.869938,0.8266668,0.5983332,0.7133332,0.7833332,20.77
2023-06-01 06:00:00,238.7582,346.2184,341.91,329.1817,314.7967,1321.446
2023-06-01 07:00:00,788.6681,1795.885,1816.773,1846.763,1821.837,7253.775
2023-06-01 08:00:00,1032.187,2117.878,2128.015,2156.887,2147.27,8519.101
2023-06-01 09:00:00,1029.024,2309.398,2308.083,2315.842,2301.763,9087.643
2023-06-01 10:00:00,943.6266,2148.283,2160.838,2226.662,2210.52,8554.253
2023-06-01 11:00:00,914.7736,2097.883,2116.083,2172.22,2187.408,8394.31
2023-06-01 12:00:00,978.1217,2347.777,2358.915,2347.847,2347.78,9383.343
2023-06-01 13:00:00,236.7406,728.3132,697.1417,675.6183,640.5251,2635.432
2023-06-01 14:00:00,158.5158,504.5951,511.9901,508.5701,525.1868,2007.873
2023-06-01 15:00:00,904.2614,2159.717,2133.13,2120.395,2031.078,8373.989
2023-06-01 16:00:00,461.1377,1079.18,1082.014,1089.625,1085.477,4207.829
2023-06-01 17:00:00,707.6991,1470.073,1460.007,1462.972,1432.203,5782.064
2023-06-01 18:00:00,273.9307,535.5567,554.2217,568.6083,559.5567,2191.879
2023-06-01 19:00:00,318.8893,580.48,573.2484,581.7917,564.1,2258.602
2023-06-01 20:00:00,11.70332,22.41833,21.70167,22.74334,22.52667,94.4625
2023-06-01 21:00:00,-0.1949052,0,0,0,0,-14.21283
2023-06-01 22:00:00,-0.1729023,0,0,0,0,-14.29483
2023-06-01 23:00:00,-0.1992562,0,0,0,0,-14.239
2023-06-02 00:00:00,-0.2693085,0,0,0,0,-14.33717
2023-06-02 01:00:00,-0.2115373,0,0,0,0,-14.25767
2023-06-02 02:00:00,-0.1803984,0,0,0,0,-14.1425
2023-06-02 03:00:00,-0.2156039,0,0,0,0,-14.1565
2023-06-02 04:00:00,-0.1173252,0,0,0,0,-14.19333
2023-06-02 05:00:00,3.580928,4.708333,5.501667,5.923333,6.126667,33.62917
2023-06-02 06:00:00,338.065,630.5666,648.9233,704.9067,687.6451,2688.69
2023-06-02 07:00:00,888.0815,2089.708,2127.617,2182.802,2141.527,8529.935
2023-06-02 08:00:00,1132.573,2515.259,2520.188,2523.34,2520.915,9999.461
